title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
X-Men: Days of Future Past,132,Action;Adventure;Sci-Fi,Bryan Singer,Simon Kinberg;Jane Goldman,Patrick Stewart;Ian McKellen;Hugh Jackman,8.1,440722
Anatomy of a Murder,160,Crime;Drama;Mystery,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara,8.1,41611
Before Sunset,80,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff,8.1,150185
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie,8.1,58754
The Graduate,106,Comedy;Drama;Romance,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross,8.0,197079
The Big Sleep,114,Crime;Film-Noir;Mystery,Howard Hawks,William Faulkner;Leigh Brackett,Humphrey Bogart;Lauren Bacall;John Ridgely,8.1,60436
Underground,170,Comedy;Drama;War,Emir Kusturica,Dusan Kovacevic;Emir Kusturica,Predrag Manojlovic;Lazar Ristovski;Mirjana Jokovic,8.1,40245
"Paris, Texas",147,Drama,Wim Wenders,L.M. Kit Carson;Sam Shepard,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell,8.1,44123
Tropa de Elite 2: O Inimigo Agora é Outro,115,Action;Crime;Drama,José Padilha,Bráulio Mantovani;Bráulio Mantovani,Wagner Moura;Irandhir Santos;André Ramiro,8.1,60475
Okuribito,130,Drama;Music,Yôjirô Takita,Kundô Koyama,Masahiro Motoki;Ryôko Hirosue;Tsutomu Yamazaki,8.1,35799
Gangs of Wasseypur,320,Action;Crime;Drama,Anurag Kashyap,Akhilesh Jaiswal;Anurag Kashyap,Manoj Bajpayee;Richa Chadda;Nawazuddin Siddiqui,8.4,36207
Akira,124,Animation;Action;Sci-Fi,Katsuhiro Ôtomo,Katsuhiro Ôtomo;Izô Hashimoto,Nozomu Sasaki;Mami Koyama;Mitsuo Iwata,8.1,93655
